artist_names,full_title,id,title,title_with_featured,url,featured_artists,artist,lyrics
Britney Spears,...Baby One More Time by Britney Spears,78169,...Baby One More Time,...Baby One More Time,https://genius.com/Britney-spears-baby-one-more-time-lyrics,[],Britney Spears,"118 ContributorsTranslationsItalianoEnglish...Baby One More Time Lyrics[Intro]
Oh, baby, baby
Oh, baby, baby

[Verse 1]
Oh, baby, baby
How was I supposed to know
That something wasn't right here?
Oh, baby, baby
I shouldn't have let you go
And now you're out of sight, yeah

[Pre-Chorus]
Show me how you want it to be
Tell me, baby, 'cause I need to know now
Oh, because

[Chorus]
My loneliness is killing me (And I)
I must confess, I still believe (Still believe)
When I'm not with you, I lose my mind
Give me a sign
Hit me, baby, one more time

[Verse 2]
Oh, baby, baby
The reason I breathe is you (Oh, yeah)
Boy, you got me blinded
Oh, pretty, baby
There's nothing that I wouldn't do
It's not the way I planned it
You might also like[Pre-Chorus]
Show me how you want it to be
Tell me, baby, 'cause I need to know now
Oh, because

[Chorus]
My loneliness is killing me (And I)
I must confess, I still believe (Still believe)
When I'm not with you, I lose my mind
Give me a sign
Hit me, baby, one more time

[Post-Chorus]
Oh, baby, baby (Oh)
Oh, baby, baby (Yeah)

[Bridge]
Oh, baby, baby
How was I supposed to know?
Oh, pretty, baby
I shouldn't have let you go
I must confess that my loneliness is killing me now
Don't you know I still believe
That you will be here and give me a sign
Hit me, baby, one more time
[Chorus]
My loneliness is killing me (And I)
I must confess, I still believe (Still believe)
When I'm not with you, I lose my mind
Give me a sign
Hit me, baby, one more time

[Outro]
I must confess (My loneliness)
That my loneliness (Is killing me)
Is killing me now (I must confess, I still believe)
Don't you know I still believe (When I'm not with you)
That you will be here (I lose my mind)
And give me a sign
Hit me, baby, one more time70Embed"
Britney Spears,Toxic by Britney Spears,110982,Toxic,Toxic,https://genius.com/Britney-spears-toxic-lyrics,[],Britney Spears,"109 ContributorsTranslationsСрпскиPortuguêsToxic Lyrics[Verse 1]
Baby, can't you see I'm calling?
A guy like you should wear a warning
It's dangerous, I'm falling
There's no escape, I can't wait
I need a hit, baby, give me it
You're dangerous, I'm lovin' it

[Pre-Chorus]
Too high, can't come down
Losing my head, spinnin' 'round and 'round
Do you feel me now?

[Chorus]
With a taste of your lips, I'm on a ride
You're toxic, I'm slippin' under
With a taste of a poison paradise
I'm addicted to you
Don't you know that you're toxic?
And I love what you do
Don't you know that you're toxic?

[Verse 2]
It's getting late to give you up
I took a sip from my devil's cup
Slowly, it's taking over me
You might also like[Pre-Chorus]
Too high, can't come down
It's in the air and it's all around
Can you feel me now?

[Chorus]
With a taste of your lips, I'm on a ride
You're toxic, I'm slippin' under
With a taste of a poison paradise
I'm addicted to you
Don't you know that you're toxic?
And I love what you do
Don't you know that you're toxic?
Don't you know that you're toxic?

[Instrumental Break]

[Chorus]
With a taste of your lips, I'm on a ride
You're toxic, I'm slippin' under
With a taste of a poison paradise
I'm addicted to you
Don't you know that you're toxic?
With a taste of your lips, I'm on a ride
You're toxic, I'm slippin' under (Toxic)
With a taste of a poison paradise
I'm addicted to you
Don't you know that you're toxic?
[Outro]
Intoxicate me now with your lovin' now
I think I'm ready now (I think I'm ready now)
Intoxicate me now with your lovin' now
I think I'm ready now238Embed"
Britney Spears,Work Bitch by Britney Spears,218073,Work Bitch,Work Bitch,https://genius.com/Britney-spears-work-bitch-lyrics,[],Britney Spears,"70 ContributorsTranslationsPortuguêsWork Bitch Lyrics[Intro]
You wanna?
You wanna?

[Chorus]
You want a hot body? You want a Bugatti?
You want a Maserati? You better work bitch
You want a Lamborghini? Sip martinis?
Look hot in a bikini? You better work bitch
You wanna live fancy? Live in a big mansion?
Party in France?
You better work bitch, you better work bitch
You better work bitch, you better work bitch

[Drop]
Now get to work bitch! (Ah-ah)
Now get to work bitch! (Ah-ah)

[Verse 1]
Bring it on, ring the alarm
Don't stop now, just be the champion
Work it hard like it's your profession
Watch out now, 'cause here it comes
Here comes the smasher, here comes the master
Here comes the big beat, big beat to blast ya
No time to quit now, just time to get it now
Pick up what I'm puttin' down, pick up what I'm puttin' down
You might also like[Chorus]
You want a hot body? You want a Bugatti?
You want a Maserati? You better work bitch
You want a Lamborghini? Sip martinis?
Look hot in a bikini? You better work bitch
You wanna live fancy? Live in a big mansion?
Party in France?
You better work bitch, you better work bitch
You better work bitch, you better work bitch

[Drop]
Now get to work bitch! (Ah-ah)
Now get to work bitch! (Ah-ah)

[Verse 2]
Break it up, break it down
See me comin' you can hear my sound
Tell somebody in your town
Spread the word, spread the word
Go call the police, go call the governor
I bring the treble, don't mean to trouble ya
I make it bubble up, call me the bubbler
I am the bad bitch, the bitch that you're lovin' up

[Bridge]
Hold your head high, fingers to the sky
They gon' try and try ya, but they can't deny ya
Keep it moving higher, and higher
Keep it moving higher, and higher
So hold your head high, fingers to the sky
Now they don't believe ya, but they gonna need ya
Keep it moving higher and higher
Keep it moving higher and higher and higher
[Post-Bridge]
Work, work, work, work
Work, work, work, work
Work, work, work, work
Work, work, work, work
Work it out, work it out, work it out, work it out
Work it out, work it out, work it out, work it out
Work it out, work it out, work it out, work it out
Work it out, work it out

[Drop]
You better work bitch
You better work bitch113Embed"
Britney Spears,Oops!... I Did It Again by Britney Spears,3988,Oops!... I Did It Again,Oops!... I Did It Again,https://genius.com/Britney-spears-oops-i-did-it-again-lyrics,[],Britney Spears,"73 ContributorsOops!... I Did It Again Lyrics[Intro]
Mmm, yeah
Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah

[Verse 1]
I think I did it again
I made you believe we're more than just friends
Oh, baby, it might seem like a crush
But it doesn't mean that I'm serious

[Pre-Chorus]
'Cause to lose all my senses
That is just so typically me
Ooh, baby, baby

[Chorus]
Oops, I did it again
I played with your heart
Got lost in the game
Oh, baby, baby
Oops, you think I'm in love
That I'm sent from above
I'm not that innocent

[Verse 2]
You see, my problem is this
I'm dreaming away
Wishing that heroes, they truly exist
I cry watching the days
Can't you see I'm a fool in so many ways?
You might also like[Pre-Chorus]
But to lose all my senses
That is just so typically me
Oh, baby, oh

[Chorus]
Oops, I did it again
I played with your heart
Got lost in the game
Oh, baby, baby
Oops, you think I'm in love
That I'm sent from above
I'm not that innocent

[Post-Chorus]
Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah

[Interlude]
""All aboard!""
""Britney! Before you go, there's something I want you to have.""
""Oh, it's beautiful! But wait a minute, isn't this...?""
""Yeah, yes, it is.""
""But I thought the old lady dropped it into the ocean in the end.""
""Well, baby, I went down and got it for ya.""
""Aw, you shouldn't have!""
[Bridge]
Oops, I did it again to your heart
Got lost in this game, oh, baby (Baby)
Oops, you (Oops, you)
Think that I'm sent from above
I'm not that innocent

[Chorus]
Oops, I did it again
I played with your heart
Got lost in the game (Yeah, yeah)
Oh, baby, baby
Oops, you think I'm in love
That I'm sent from above (Yeah yeah)
I'm not that innocent (Not that innocent, babe)
Oops, I (Oops, I) did it again (Did it again to your heart)
I played with your heart (Got lost)
Got lost in the game (In this game, oh, baby)
Oh, baby, baby
Oops, you (Oops, you) think I'm in love (Think that I'm sent)
That I'm sent from above
I'm not that innocent25Embed"
Britney Spears,If U Seek Amy by Britney Spears,193709,If U Seek Amy,If U Seek Amy,https://genius.com/Britney-spears-if-u-seek-amy-lyrics,[],Britney Spears,"66 ContributorsTranslationsEnglishIf U Seek Amy Lyrics[Intro]
La, la, la, la, la-la, la, la
La, la, la, la, la-la, la, la
La, la, la, la, la-la, la, la
La, la, la, la, la-la, la, la

[Verse 1]
Oh, baby, baby, have you seen Amy tonight?
Is she in the bathroom, is she smoking up outside? (Oh!)
Oh, baby, baby, does she take a piece of lime
For the drink that I'ma buy her?
Do you know just what she likes? (Oh!)

[Pre-Chorus]
Oh-oh, tell me, have you seen her?
'Cause I'm so, oh, I can't get her off of my brain
I just wanna go to the party she gon' go
Can somebody take me home?
Ha-ha-he-he-ha-ha-ho

[Chorus]
Love me, hate me, say what you want about me
But all of the boys and all of the girls are begging to, if you seek Amy
Love me, hate me, but can't you see what I see?
All of the boys and all of the girls are begging to, if you seek Amy
You might also like[Interlude]
(Love me, hate me)
La, la, la, la, la-la, la, la
La, la, la, la, la-la, la, la

[Verse 2]
Amy told me that she's gonna meet me up
I don't know where or when, and now they're closing up the club (Oh!)
I've seen her once or twice before, she knows my face
But it's hard to see with all the people standing in the way (Oh!)

[Pre-Chorus]
Oh-oh, tell me, have you seen her?
'Cause I'm so, oh, I can't get her off of my brain
I just wanna go to the party she gon' go
Can somebody take me home?
Ha-ha-he-he-ha-ha-ho

[Chorus]
Love me, hate me, say what you want about me
But all of the boys and all of the girls are begging to, if you seek Amy
Love me, hate me, but can't you see what I see?
All of the boys and all of the girls are begging to, if you seek Amy

[Post-Chorus]
(Love me, hate me) Oh, say what you want about me
Oh, but can't you see what I see?
(Love me, hate me) Oh, say what you want about me
('Bout me, 'bout me)
[Bridge]
So tell me if you see her
(Let me know what she was wearing, and what she was like)
'Cause I've been waiting here forever
(Let me know where she was going, I don't mind)
Oh, baby, baby, if you seek Amy tonight (Oh!)
Oh, baby, baby, we'll do whatever you like
Oh, baby, baby, baby
Oh, baby, baby, baby

[Interlude]
La, la, la, la, la-la, la, la
La, la, la, la, la-la, la, la
La, la, la, la, la-la, la, la
La, la, la, la, la-la, la, la

[Chorus]
Love me, hate me, say what you want about me
But all of the boys and all of the girls are begging to, if you seek Amy
Love me, hate me, but can't you see what I see?
All of the boys and all of the girls are begging to, if you seek Amy
Love me, hate me, say what you want about me (Yeah, yeah)
Love me, hate me, but can't you see what I see?
All of the boys and all of the girls are begging to if you seek Amy

[Post-Chorus]
(Love me, hate me) Oh, say what you want about me
Oh, but can't you see what I see?
(Love me, hate me) Oh, say what you want about me
All of the boys and all of the girls are begging to if you seek Amy20Embed"
Britney Spears (Ft. G-Eazy),Make Me... by Britney Spears (Ft. G-Eazy),2479757,Make Me...,Make Me... (Ft. G-Eazy),https://genius.com/Britney-spears-make-me-lyrics,"[{'api_path': '/artists/11395', 'header_image_url': 'https://images.genius.com/07ecc412f22fe80d15484ffcc22b7dcd.1000x563x1.jpg', 'id': 11395, 'image_url': 'https://images.genius.com/07b5f933fcadb32fc5812376cdd294ef.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'G-Eazy', 'url': 'https://genius.com/artists/G-eazy', 'iq': 16579}]",Britney Spears,"81 ContributorsMake Me... Lyrics[Verse 1: Britney Spears]
Friday
I'm dreaming a mile a minute 'bout somebody
This feeling, I wanna go with it, 'cause there's no way
We're hiding away from this tonight, oh, this tonight
Can tell you want me
By the way I see you starin' 'cross the room, babe
No shame in the game, just cut the shit, be honest
Yeah, you know what you gotta do tonight, do tonight

[Pre-Chorus: Britney Spears]
I just want you to make me move
Like it ain't a choice for you, like you've got a job to do
Just want you to raise my roof
Something sensational (Sensational, oh, yeah)

[Chorus: Britney Spears]
And make me oooh, oooh, oooh, oooh
And make me oooh, oooh, oooh, oooh

[Verse 2: Britney Spears]
No rules
From the bar to the car, let's take it back to my room
Ignite in the heat of the moment, let the sparks fuse
Blowing up to the ceiling, we burning bright when we cut the light
'Cause you're the flame I can't do without
The fire comes in, the sky falls down
There's no way I'm gonna be fighting this tonight, this tonight
You might also like[Pre-Chorus: Britney Spears]
I just want you to make me move
Like it ain't a choice for you, like you've got a job to do
Just want you to raise my roof
Something sensational (Sensational, oh, yeah)

[Chorus: Britney Spears]
And make me oooh, oooh, oooh, oooh
And make me oooh, oooh, oooh, oooh

[Post-Chorus: Britney Spears & G-Eazy]
Baby, 'cause you're the spark that won't go out
My heart's on fire when you're around
Make me oooh, oooh, oooh, oooh
Yeah, yeah, Eazy

[Verse 3: G-Eazy]
I don't care if it's a random person or the biggest star
Out in Vegas or a little bar
It’s really not a difference if it's near or far
Listen, here we are, need you
I've always wanted what was off limits
Staring at you 'til I'm caught in this
Back and forth like this is all tennis
I'm all jealous, you came with someone
But we can tell that there are changes coming
See, I can tell that you're a dangerous woman
That means you're speaking my language, come on
Now follow me, let's go (Go)
Like Penelope in Blow
Well aware that stealing you is a felony, yeah I know
That's why they keep on telling me to let go, yeah
[Bridge: G-Eazy]
But I need you and I can take you
All the way and I'm able
To give you something sensational, so let's go, yeah
Said I need you and I can take you
All the way and I'm able
So follow me and I can make you

[Chorus: Britney Spears & (G-Eazy)]
And make me oooh (Move), oooh, oooh (Yeah), oooh
And make me oooh, oooh, oooh, oooh

[Post-Chorus: Britney Spears]
Baby, 'cause you're the spark that won't go out
My heart's on fire when you're around
Make me oooh, oooh, oooh, oooh
Yeah, you make me oooh119Embed"
Britney Spears,Lucky by Britney Spears,117542,Lucky,Lucky,https://genius.com/Britney-spears-lucky-lyrics,[],Britney Spears,"49 ContributorsLucky Lyrics[Intro]
This is a story about a girl named Lucky

[Verse 1]
Early morning, she wakes up
Knock, knock, knock on the door
It's time for makeup, perfect smile
It's you they're all waiting for

[Pre-Chorus]
They go, ""Isn't she lovely, this Hollywood girl?""
And they say

[Chorus]
""She's so lucky, she's a star""
But she cry, cry, cries in her lonely heart, thinking
""If there's nothing missing in my life
Then why do these tears come at night?""

[Verse 2]
Lost in an image, in a dream
But there's no one there to wake her up
And the world is spinning, and she keeps on winning
But tell me, what happens when it stops?

[Pre-Chorus]
They go, ""Isn't she lovely, this Hollywood girl?""
And they say
You might also like[Chorus]
""She's so lucky, she's a star""
But she cry, cry, cries in her lonely heart, thinking
""If there's nothing missing in my life
Then why do these tears come at night?""

[Interlude]
""Best actress, and the winner is, Lucky!""
""I'm Roger Johnson for Pop News, standing outside the arena waiting for Lucky""
""Oh my God, here she comes!""

[Bridge]
Isn't she lovely, this Hollywood girl?
She is so lucky, but why does she cry?
If there is nothing missing in her life
Why do tears come at night?
And they say

[Chorus]
""She's so lucky, she's a star""
But she cry, cry, cries in her lonely heart, thinking
""If there's nothing missing in my life
Then why do these tears come at night?""
""She's so lucky, she's a star""
But she cry, cry, cries in her lonely heart, thinking
""If there's nothing missing in my life
Then why do these tears come at night?""8Embed"
Britney Spears,Everytime by Britney Spears,193658,Everytime,Everytime,https://genius.com/Britney-spears-everytime-lyrics,[],Britney Spears,"57 ContributorsEverytime Lyrics[Verse 1]
Notice me, take my hand
Why are we strangers
When our love is strong?
Why carry on without me?

[Chorus]
Every time I try to fly, I fall
Without my wings, I feel so small
I guess I need you, baby
And every time I see you in my dreams
I see your face, it's haunting me
I guess I need you, baby

[Verse 2]
I make believe that you are here
It's the only way I see clear
What have I done?
You seem to move on easy

[Chorus]
And every time I try to fly, I fall
Without my wings, I feel so small
I guess I need you, baby
And every time I see you in my dreams
I see your face, you're haunting me
I guess I need you, baby
You might also like[Bridge]
I may have made it rain
Please forgive me
My weakness caused you pain
And this song's my sorry
At night, I pray
That soon your face will fade away

[Chorus]
And every time I try to fly, I fall
Without my wings, I feel so small
I guess I need you, baby
And every time I see you in my dreams
I see your face, you're haunting me
I guess I need you, baby26Embed"
Britney Spears,Gimme More by Britney Spears,102458,Gimme More,Gimme More,https://genius.com/Britney-spears-gimme-more-lyrics,[],Britney Spears,"95 ContributorsTranslationsBosanskiGimme More Lyrics[Intro: Britney Spears]
It's Britney, bitch
I see you
And I just wanna dance with you

[Verse 1: Britney Spears]
Every time they turn the lights down
Just wanna go that extra mile for you
Public display of affection (Oh-oh-oh)
Feels like no one else in the room (But you)

[Pre-Chorus: Britney Spears]
We can get down
Like there's no one around
We keep on rocking (We keep on rocking)
We keep on rocking (We keep on rocking)
Cameras are flashing
While we're dirty dancing
They keep watching (They keep watching)
Keep watching, feels like the crowd is saying

[Chorus: Britney Spears]
Gimme, gimme (More), gimme (More)
Gimme, gimme (More)
Gimme, gimme (More), gimme (Mo')
Gimme, gimme (More)
Gimme, gimme (More), gimme (More)
Gimme, gimme (More)
Gimme, gimme (More), gimme (Mo')
Gimme, gimme (More)
You might also like[Verse 2: Britney Spears]
The center of attention (Do you feel that?)
Even when we're up against the wall
You got me in a crazy position (Yeah)
If you're on a mission (Uh-huh), you got my permission (Oh)

[Pre-Chorus: Britney Spears]
We can get down
Like there's no one around
We keep on rocking (Keep on rocking)
We keep on rocking (Oh), rocking (Uh-huh)
Cameras are flashing
While we're dirty dancing
They keep watching (They keep watching)
Keep watching, feels like the crowd is saying

[Chorus: Britney Spears]
Gimme, gimme (More), gimme (More)
Gimme, gimme (More)
Gimme, gimme (More), gimme (Mo')
Gimme, gimme (More)
Gimme, gimme (More), gimme (More)
Gimme, gimme (More)
Gimme, gimme (More), gimme (Mo')
Gimme, gimme (More)
[Bridge: Britney Spears & Danja]
Ooh-ooh-ooh
Ooh-ooh-ooh (I just can't)
Ooh-ooh-ooh (Control myself)
Ooh-ooh-ooh (More)
Ooh-ooh-ooh (They want more?)
Ooh-ooh-ooh
Ooh-ooh-ooh (Well, I'll give them more)
Ooh-ooh-ooh (Ow! More)

[Chorus: Britney Spears]
Gimme, gimme (More), gimme (More)
Gimme, gimme (More), give me more
Gimme, gimme (More). gimme (Mo')
Gimme, gimme (More), ooh-ooh
Gimme, gimme (More), gimme (More)
Gimme, gimme (More)
Gimme, gimme (More), give me more, gimme (Mo'), yeah
Gimme, gimme (More)

[Post-Chorus: Britney Spears & Danja]
Oh-oh-oh
Gimme more, gimme more
Mo— Mo— Mo— Mo— Mo— Mo— Mo— (More)
Gimme more, gimme more, babe
Danja, Danja, Danja, Danja
Danja, Danja, Danja, Danja (I just want more)
[Interlude: Britney Spears & Danja]
Ooh-oh, ah-ah-ah, ah
Ooh-oh, ah-ah-ah, ah
Ooh-oh, ah-ah-ah, ah
Ooh-oh, ah-ah-ah, ah
Ooh-oh, ah-ah-ah, ah
Ooh-oh, ah-ah-ah, ah
Ooh-oh, ah-ah-ah, ah
Ooh-oh, ah-ah-ah, ah
Gimme, gimme, gimme
Gimme, gimme
Gimme, gimme, gimme (Danja, Danja, Danja, Danja)
Gimme, gimme (Danja, Danja, Danja, Danja)
Gimme, gimme, gimme
Gimme, gimme
Gimme, gimme, gimme
Gimme, gimme

[Outro: Danja]
Bet you didn't see this one coming
The Incredible Lago (Mo— Mo— Mo— Mo— Mo— Mo— Mo—)
The legendary Miss Britney Spears, haha
And the unstoppable Danja
Ah, you gonna have to remove me
'Cause I ain't going nowhere
Mo— Mo— Mo— Mo— Mo— Mo— Mo— (More)221Embed"
Britney Spears,Womanizer by Britney Spears,193688,Womanizer,Womanizer,https://genius.com/Britney-spears-womanizer-lyrics,[],Britney Spears,"60 ContributorsWomanizer Lyrics[Verse 1]
Superstar, where you from? How's it goin'?
I know you got a clue what you're doin'
You can play brand new to all the other chicks out here
But I know what you are, what you are, baby
Look at you, gettin' more than just a re-up
Baby, you got all the puppets with their strings up
Fakin' like a good one, but I call 'em like I see 'em
I know what you are, what you are, baby

[Pre-Chorus]
Womanizer, woman-womanizer, you're a womanizer
Oh, womanizer, oh, you're a womanizer, baby
You, you-you are, you, you-you are
Womanizer, womanizer, womanizer (Womanizer)

[Chorus]
Boy, don't try to front, I-I know just, just what you are, a-are
Boy, don't try to front, I-I know just, just what you are, a-are
(You, you) You got me goin', you're oh-so-charmin'
(You, you) But I can't do it, you womanizer
Boy, don't try to front, I-I know just, just what you are, a-are
Boy, don't try to front, I-I know just, just what you are, a-are
(You, you) You say I'm crazy, I got your crazy
(You, you) You're nothin' but a womanizer
You might also like[Verse 2]
Daddy-o, you got the swagger of a champion
Too bad for you, you just can't find the right companion
I guess when you have one too many
Makes it hard, it could be easy
Who you are, that's just who you are, baby
Lollipop, must mistake me, you're the sucker
To think that I would be a victim, not another
Say it, play it how you wanna
But no way, I'm never gonna
Fall for you, never you, baby

[Pre-Chorus]
Womanizer, woman-womanizer, you're a womanizer
Oh, womanizer, oh, you're a womanizer, baby
You, you-you are, you, you-you are (Womanizer, womanizer)
Womanizer, womanizer, womanizer (Womanizer)

[Chorus]
Boy, don't try to front, I-I know just, just what you are, a-are
Boy, don't try to front, I-I know just, just what you are, a-are
(You, you) You got me goin', you're oh-so-charmin'
(You, you) But I can't do it, you womanizer
Boy, don't try to front, I-I know just, just what you are, a-are
Boy, don't try to front, I-I know just, just what you are, a-are
(You, you) You say I'm crazy, I got your crazy
(You, you) You're nothin' but a womanizer
[Bridge]
Maybe if we both lived in a different world, yeah
(Womanizer, womanizer, womanizer, womanizer)
It would be all good and maybe I could be your girl (Yeah)
But I can't 'cause we don't, you

[Pre-Chorus]
Womanizer, woman-womanizer, you're a womanizer
Oh, womanizer, oh, you're a womanizer, baby
You, you-you are, you, you-you are (Womanizer, womanizer)
Womanizer, womanizer, womanizer (Womanizer)

[Chorus]
Boy, don't try to front, I-I know just, just what you are, a-are
Boy, don't try to front, I-I know just, just what you are, a-are
(You, you) You got me goin', you're oh-so-charmin'
(You, you) But I can't do it, you womanizer
Boy, don't try to front, I-I know just, just what you are, a-are
Boy, don't try to front, I-I know just, just what you are, a-are
(You, you) You say I'm crazy, I got your crazy
(You, you) You're nothin' but a womanizer

[Outro]
Boy, don't try to front, I-I know just, just what you are, a-are
Boy, don't try to front, I-I know just, just what you are, a-are
Womanizer, woman-womanizer, you're a womanizer
Oh, womanizer, oh, you're a womanizer, baby31Embed"
